id,title,overview,release_date,runtime,genres,production_companies,budget,revenue,popularity,vote_average,vote_count,status,poster_path,backdrop_path,language
1243186,Demise,"Latino landscaper, Caleb Castillo, leads a double life. He is entangled in a steamy affair with rising fashion star, Fiona Hernandez, while simultaneously devoted to his beautiful wife, Celine. Celine wants a child with Caleb more than anything in the world. As Fiona’s patience wears thin with Caleb’s promises to leave his wife, Celine discovers Caleb’s infidelity; they break up. Caleb and Fiona begin to forge a new life together, but Celine becomes obsessed with reclaiming what she believes is rightfully hers, including Caleb’s newborn son, Brody. It appears that she may just succeed. But just when Celine thinks she has achieved her devious goals.",2024-02-27,116 minutes,Thriller,"Demise, Blue Boots Entertainment, Brilliant Screen Studios, Citizen Skull Productions",0,0,4.572,4.3,3,Released,https://image.tmdb.org/t/p/w500/3RFkqeMh0lsoBdlsHNmJ2I0uec8.jpg,https://image.tmdb.org/t/p/w500/9bvjDplWTSuxy6Brr8VQZmfRkSk.jpg,En
1235749,Iwájú: A Day Ahead,"Filmed across three continents, this documentary shares the story of the founders of the Pan-African comic book company, Kugali, who made their dream a reality creating an original animation series with Walt Disney Animation Studios.",2024-02-27,72 minutes,Documentary,ABC News Studios,0,0,3.028,3.5,2,Released,https://image.tmdb.org/t/p/w500/o54GvASPrDvMugfqaXN12CSlFjq.jpg,https://image.tmdb.org/t/p/w500/kt7YQRvTNpQLzX1OtSPZLuFPzL.jpg,En
1205709,Hamlet,"A tale of revenge that has stood the test of time, Shakespeare’s classic tragedy is reimagined for the modern day as a gripping psychological thriller! Transcending the confines of the stage, the film utilises nearly every room of the Theatre Royal Windsor to transform it into the immortal Elsinore Castle, from basement dungeon to roof-top battlement.",2024-02-27,117 minutes,"Drama, Thriller",BKStudios,0,0,4.129,7.8,5,Released,https://image.tmdb.org/t/p/w500/s6zsaVgeTZFG2c1xqCI5kGdi515.jpg,https://image.tmdb.org/t/p/w500/bVAWN90jAJQ1aORcjDRlv99C76s.jpg,En
1196646,Camp Pleasant Lake,"A couple breathes life into a new camp on an old campsite, connecting them to a chilling past that unravels a 20-year-old mystery involving a missing young girl. As eerie events unfold, they must confront forces tied to a brutal crime.",2024-02-27,90 minutes,Horror,"Safier Entertainment, PhilaDreams Films, Lux Angeles Studios, Mahal Empire, RMR Productions, Stag Mountain Films, Deskpop Entertainment",0,0,13.823,5.1,11,Released,https://image.tmdb.org/t/p/w500/vO4ok0SkjbTfLCICxx0uMzOBoEJ.jpg,https://image.tmdb.org/t/p/w500/rmV6gnPC9LqNWOKzwd8jQe8Ljcw.jpg,En
1153923,The Sun Sets Like a Scar,"Engaging with the poetry of Langston Hughes, this film investigates the afterlives of Vladimir Lenin in eastern Germany.",2024-02-27,6 minutes,Documentary,Kuznitsa,5000,0,0.35,0.0,0,Released,https://image.tmdb.org/t/p/w500/dpuaEKpqnwMuxwCnKhX9NJlcZOP.jpg,https://image.tmdb.org/t/p/w500/idLhpEAYy9r9mYRH4NWigvHi1au.jpg,En
932420,Code 8 Part II,"In a world where superpowered people are heavily policed by robots, an ex-con teams up with a drug lord he despises to protect a teen from a corrupt cop.",2024-02-27,101 minutes,"Science Fiction, Action, Crime","XYZ Films, Collective Pictures",0,0,43.024,6.4,567,Released,https://image.tmdb.org/t/p/w500/hhvMTxlTZtnCOe7YFhod9uz3m37.jpg,https://image.tmdb.org/t/p/w500/ekRp1sEA8pnuzVHQkUESTgNSKdW.jpg,En
713407,Caracas Vice Vol. 3,"""""""""1989. Caracas is once again in danger with the comeback of the most dangerous drug lord of Venezuela, Disco Herrera; just months after ""The Caracazo"", a series of riots and massacres that left over 3000 casualties. Now Inspector Guerrero will investigate the strange coincidence with the help of maverick ex-cop Ryan of the DEA and destroy Herrera once and for all.""""""""",2024-02-27,35 minutes,"Thriller, Action, Comedy, Crime",2049 Studios,232,0,0.524,0.0,0,Released,https://image.tmdb.org/t/p/w500/goKPM7f2Hd3Sc7Gg2ZEtJaaDqPJ.jpg,https://image.tmdb.org/t/p/w500/w3ueioBHgMNA8cEybDZSsFQX3Hk.jpg,Es
1333019,Good Old Friend,"A college graduate finds an old photo of his high school best friend, leading him on a journey to revisit their special place and reflect on their timeless bond.",2024-02-28,3 minutes,Drama,Acutefilm,0,0,0.111,0.0,0,Released,https://image.tmdb.org/t/p/w500/caPumtjai9dpPFw3hJyKUEk4y5V.jpg,https://image.tmdb.org/t/p/w500/25fDas8BC6mGlQpldCicH9I0zyd.jpg,Th
1276324,The Coin,"Three college friends, John, Oliver and Shaun go to the park after college when John comes across a coin that has a demonic history. He then unknowingly takes the coin home and gets possessed by it. But Oliver, who has some knowledge in demonic history because of his dad, makes a discovery that his friend has been possessed.",2024-02-28,6 minutes,"Horror, Thriller",Eimaj Productions,5,24,0.953,10.0,1,Released,https://image.tmdb.org/t/p/w500/2K8k6JkgnRiDTB411vfDUNKSOtu.jpg,https://image.tmdb.org/t/p/w500/fNL0T2WhSXDm95GoTImwztpcVW0.jpg,En
1265139,The minor order,"""""""""The short film ""The minor order"" was created by the CityFilm Productions team in memory of the train accident in the area of Tempe, Greece on Tuesday 28/02/2023. In the film we live the perspective of a relative of a victim, on the day of the tragedy, as well as a year after it.  Our purpose is to never let the memory of the crime of Tempe be forgotten. Finally, we feel the need to help in any way we can in bringing real justice to this case, hoping that we are passing a certain message through our creation.""""""""",2024-02-28,6 minutes,Drama,CityFilm Productions,0,0,0.393,8.0,1,Released,https://image.tmdb.org/t/p/w500/li1Hd63P2gHC5wDSzrk1iTaosUR.jpg,https://image.tmdb.org/t/p/w500/AilEssA9qsDS7Og5VemFliu6Cuw.jpg,El
